地區縣市,主管機關文件單位代碼,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
桃園市政府,私立人仁數學語文短期補習班,,a4163189@gmail.com,文理類,中壢區,2010-12-14,1296
桃園市政府,私立美昇語文珠算文理短期補習班,,addwin.wjg@gmail.com,文理類,中壢區,2003-11-27,1296
桃園市政府,高點數位科技股份有限公司附設私立高點文理短期補習班,,judy@mail.get.com.tw,文理類,中壢區,2010-03-16,1296
桃園市政府,高點數位科技股份有限公司附設私立來勝文理短期補習班,,judy@mail.get.com.tw,文理類,中壢區,2011-08-11,1296
桃園市政府,志光教育科技股份有限公司附設私立正志光文理法商短期補習班,,moumi0920@hotmail.com,文理類,中壢區,2015-01-12,1296
桃園市政府,巨匠電腦股份有限公司中壢美語分公司附設私立巨二美語短期補習班,,Kate.chang@pcschool.com.tw,外語類,中壢區,2013-05-01,1296
桃園市政府,菁英國際文教事業有限公司桃園分公司附設私立菁英國際英日語短期補習班中壢分班,,accountant@language-center.com.tw,外語類,中壢區,2013-01-10,1296
桃園市政府,私立思路文理短期補習班,,Mathway1978@gmail.com,文理類,中壢區,2017-08-23,1296
桃園市政府,私立金學堂英語短期補習班,,ge6f138@gmail.com,外語類,中壢區,2012-08-17,1296
桃園市政府,私立妍囍美容美髮短期補習班,,janeaa@yahoo.com.com,美容、美髮理髮類,中壢區,2013-10-17,1296
桃園市政府,高明一對一學習有限公司附設私立高銘一對一文理數學語文電腦短期補習班,,022.km101@gmail.com,文理類,中壢區,2021-10-08,1296
桃園市政府,戴爾美語教育科技事業股份有限公司附設私立戴爾語文短期補習班,,dukechu52@yahoo.com.tw,外語類,中壢區,2015-03-31,1296
桃園市政府,赫連電腦有限公司附設私立赫連技藝短期補習班,,annie@appedu.tw,資訊類,中壢區,2022-07-22,1296
桃園市政府,赫達電腦有限公司附設私立赫綵電腦短期補習班,,grace@appedu.com.tw,電機、汽車修護、建築、工藝、製圖類,中壢區,2017-01-17,1296
桃園市政府,私立朝和語文短期補習班,,asawajp@hotmail.com,外語類,中壢區,2003-04-08,1296
桃園市政府,萌客股份有限公司附設私立萌客外語短期補習班,,mkreversal@gmail.com,外語類,中壢區,2019-08-21,1296
桃園市政府,私立勁捷法商短期補習班,,,法政類,中壢區,2013-12-23,1296
桃園市政府,私立偉文文理短期補習班,,taipei101@way-to-win.com,文理類,中壢區,2017-09-15,1296
桃園市政府,私立考上文理短期補習班,,waytowinsecret@gmail.com,文理類,中壢區,2021-09-30,1296
桃園市政府,驅勢文教事業有限公司附設私立叄壹語文短期補習班,,service@wkedu.com.tw,外語類,中壢區,2013-03-04,1296
桃園市政府,私立興儒數學語文文理短期補習班,,chiuchihfeng@hotmail.com,文理類,中壢區,2012-04-18,1296
桃園市政府,私立欣明英語會話短期補習班,11,,外語類,中壢區,1984-08-14,1296
桃園市政府,私立國鉅語文數學文理短期補習班,,amy65124@yahoo.com.tw,文理類,中壢區,2011-03-02,1296
桃園市政府,私立躍騰文理短期補習班龍岡分班,,Superlucky229@gmail.com,文理類,中壢區,2018-11-05,1296
桃園市政府,私立聯成電腦短期補習班,,,資訊類,中壢區,2003-11-26,1296
桃園市政府,私立范姜美術短期補習班,,fanccj@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,中壢區,2015-03-19,1296
桃園市政府,私立奇飛美語珠算短期補習班,,34006dd@giraffe.com.tw,外語類,中壢區,2006-01-05,1296
桃園市政府,私立申橋語文短期補習班,,sj.sj1512@msa.hinet.net,外語類,中壢區,2003-08-26,1296
桃園市政府,私立葛洛莉英語會話短期補習班,34,,外語類,中壢區,1993-02-01,1296
桃園市政府,真善美文化藝術有限公司附設私立地球村語文短期補習班,,,外語類,中壢區,2003-01-14,1296
桃園市政府,私立冠騰文理短期補習班,,Guantengschool@gmail.com,文理類,中壢區,2019-04-09,1296
桃園市政府,私立學匯語文文理短期補習班,,sharewell2010@yahoo.com.tw,文理類,中壢區,2010-07-28,1296
桃園市政府,私立學匯語文文理數學短期補習班大崙分班,,sharewe112010@yahoo.com.tw,文理類,中壢區,2021-09-01,1296
桃園市政府,私立碩成文理語文數學美術短期補習班,,a0920231915@gmail.com,文理類,中壢區,2019-06-26,1296
桃園市政府,私立貝爾美語文理短期補習班,,bear.live.abc@gmail.com,外語類,中壢區,2000-07-07,1296
桃園市政府,私立百音音樂短期補習班,,yamaha.musical@msa.hinet.net,音樂、舞蹈類,中壢區,2010-11-24,1296
桃園市政府,私立羅碁文理數學圍棋短期補習班,,Lologigi672@gmail.com,文理類,中壢區,2018-05-16,1296
桃園市政府,私立美地美術短期補習班,,med98176@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2009-12-24,1296
桃園市政府,私立何嘉仁樂福美語短期補習班,,hs2234@hess.com.tw,外語類,中壢區,2021-04-26,1296
桃園市政府,私立卡爾維特語文珠心算數學文理短期補習班,,wahahahelen@yahoo.com.tw,文理類,中壢區,2007-08-08,1296
桃園市政府,私立方華文理短期補習班龍岡分班,,g18250710@yahoo.com,文理類,中壢區,2022-03-10,1296
桃園市政府,私立成果文理語文短期補習班龍岡分班,,fashion4580923@gmail.com,文理類,中壢區,2015-08-06,1296
桃園市政府,私立健鷹文理短期補習班,,allyliu@hotmail.com,文理類,中壢區,2003-03-17,1296
桃園市政府,私立大綠蒂語文數學短期補習班,,green.bean4666767@gmail.com,文理類,中壢區,2007-01-23,1296
桃園市政府,私立育群語文文理短期補習班,,d038458@hotmail.com,文理類,中壢區,2013-02-06,1296
桃園市政府,私立梓琦美語文理短期補習班,,leo@aeneas.com.tw,外語類,中壢區,2006-07-18,1296
桃園市政府,私立內立文城文理短期補習班,,neiliwinchamp@gmail.com,文理類,中壢區,2019-11-18,1296
桃園市政府,私立古老師文理短期補習班,,ku.teacher@msa.hinet.net,文理類,中壢區,2010-06-23,1296
桃園市政府,私立興儒數學語文文理短期補習班內壢分班,,kayinortin@hotmail.com,文理類,中壢區,2020-05-28,1296
桃園市政府,私立秝沄舞蹈短期補習班,,liyunwushu@gmail.com,音樂、舞蹈類,中壢區,2015-10-08,1296
桃園市政府,私立米席美術短期補習班,,mishiart123@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2014-01-06,1296
桃園市政府,社團法人中國青年救國團桃園縣團務指導委員會附設私立語文技藝短期補習班中壢分班,,,外語類,中壢區,2002-08-01,1296
桃園市政府,私立名城美容美髮短期補習班,,ccyeh36@gmail.com,美容、美髮理髮類,中壢區,2012-10-12,1296
桃園市政府,私立興儒思塾數學語文文理短期補習班,,salashsu@hotmail.com,文理類,中壢區,2020-01-10,1296
桃園市政府,私立幸福日光美語短期補習班,,hs2219@hess.com.tw,外語類,中壢區,2017-12-26,1296
桃園市政府,私立和陽美語珠算短期補習班,,hoyoung_class@yahoo.com.tw,外語類,中壢區,2005-08-04,1296
桃園市政府,私立風山雲水美術短期補習班,,g9307131@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,中壢區,2004-05-24,1296
桃園市政府,私立活用美語珠心算短期補習班,,,外語類,中壢區,2001-04-02,1296
桃園市政府,私立承聖語文文理短期補習班,,chengsen2005@gmail.com,文理類,中壢區,2005-03-23,1296
桃園市政府,私立達達美語文理短期補習班,,skyinjohn@yahoo.com.tw,文理類,中壢區,2007-01-23,1296
桃園市政府,私立動象美術短期補習班,,Peggy033@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,中壢區,2008-01-10,1296
桃園市政府,私立凱伊英語短期補習班,,kayliu0702@gmail.com,外語類,中壢區,2015-03-24,1296
桃園市政府,私立吉多語文文理短期補習班,,eileen04110224@yahoo.com.tw,文理類,中壢區,2012-09-25,1296
桃園市政府,私立盛彬文理語文短期補習班,,lwhite01@ms32.hinet.net,文理類,中壢區,2007-05-02,1296
桃園市政府,品宏事業有限公司附設私立品宏文理短期補習班,,kimolee@meikoschool.com.tw,文理類,中壢區,2022-07-01,1296
桃園市政府,私立原選製菓烘焙短期補習班,,wulala1833@gmail.com,家政、插花、烹飪類,中壢區,2021-04-06,1296
桃園市政府,私立育大語文文理美術短期補習班,,mini.vicky@msa.hinet.net,文理類,中壢區,2017-03-02,1296
桃園市政府,私立寶貝熊音樂短期補習班,,baby_bear5858@yahoo.com.tw,音樂、舞蹈類,中壢區,2006-07-25,1296
桃園市政府,私立謝在棋美術短期補習班,,k771014cool@hotmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2014-04-15,1296
桃園市政府,私立恆心數學美語文理短期補習班,,,文理類,中壢區,2015-02-13,1296
桃園市政府,私立文淵文理短期補習班,,h2840158@yahoo.com.tw,文理類,中壢區,2016-12-06,1296
桃園市政府,私立百合精緻美語短期補習班,,bravo4685958@gmail.com,外語類,中壢區,2004-01-07,1296
桃園市政府,私立金赫文理短期補習班,,Kristina850302@gmail.com,文理類,中壢區,2022-05-03,1296
桃園市政府,私立祥鼎文理美語短期補習班,,homeanalways@gmail.com,文理類,中壢區,2000-10-09,1296
桃園市政府,私立方華文理短期補習班,,fanghuaclass@gmail.com,文理類,中壢區,2004-05-13,1296
桃園市政府,私立崴文文理短期補習班,,Richard.shyng@msa.hinet.net,文理類,中壢區,2009-07-21,1296
桃園市政府,碩騏文教事業有限公司附設私立碩騏文理短期補習班,,dsjhs@meikoschool.com.tw,文理類,中壢區,2019-11-01,1296
桃園市政府,私立興儒語文文理短期補習班東興分班,,tt014@yahoo.com.tw,文理類,中壢區,2015-04-15,1296
桃園市政府,朝陽富元教育股份有限公司附設私立朝揚文理語文短期補習班東興分班,,jy3169958@gmail.com,文理類,中壢區,2003-06-17,1296
桃園市政府,私立飛騰文理語文短期補習班,,feitengliaoyu@hotmail.com,文理類,中壢區,2018-03-15,1296
桃園市政府,私立史蒂文語文文理短期補習班,,steven761119@hotmail.com,文理類,中壢區,2018-10-29,1296
桃園市政府,劉氏教育事業股份有限公司附設私立劉氏延平作文文理短期補習班,,lydia.wang@liueducation.com,文理類,中壢區,2019-07-16,1296
桃園市政府,私立回藝美術短期補習班,,a0916207703@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2015-06-24,1296
桃園市政府,私立昇宏文理短期補習班,,hsenghun@yahoo.com.tw,文理類,中壢區,2000-09-21,1296
桃園市政府,私立新驛文理數學語文音樂短期補習班,,newstation2018@gmail.com,文理類,中壢區,2018-04-27,1296
桃園市政府,私立樂琴音樂短期補習班,,coobra1694@gmail.com,音樂、舞蹈類,中壢區,2015-11-27,1296
桃園市政府,私立英文館兒童美語短期補習班,87,englishlab20190301@gmail.com,外語類,中壢區,1998-10-09,1296
桃園市政府,私立義華文理短期補習班,,yihua200701@gmail.com,文理類,中壢區,2021-12-29,1296
桃園市政府,私立自強誠功文理短期補習班,,peng4251201@gmail.com,文理類,中壢區,2015-01-27,1296
桃園市政府,私立築科文理短期補習班,,jason60188@hotmail.com,文理類,中壢區,2017-01-19,1296
桃園市政府,私立實力建築土木及都市短期補習班,,shili305@yahoo.com.tw,電機、汽車修護、建築、工藝、製圖類,中壢區,2008-09-30,1296
桃園市政府,私立鴻範文理短期補習班,,cheng2074@yahoo.com.tw,文理類,中壢區,2013-03-25,1296
桃園市政府,私立德川語文短期補習班,,mbstar1214@gmail.com,外語類,中壢區,2011-01-24,1296
桃園市政府,私立方華內歷數學語文文理短期補習班,,,文理類,中壢區,2021-03-31,1296
桃園市政府,私立學聖文理語文數學短期補習班,,small.rain.y2k.5@yahoo.com.tw,文理類,中壢區,2014-03-27,1296
桃園市政府,私立育成語文文理短期補習班,,yu _chen1314@yahoo.com.tw,文理類,中壢區,2009-09-02,1296
桃園市政府,私立拓宇文理語文短期補習班內壢復華分班,,tact.tynl@gmail.com,文理類,中壢區,2021-09-28,1296
桃園市政府,私立依仕倫文理短期補習班,,easy_learntw@yahoo.com.tw,文理類,中壢區,2007-04-26,1296
桃園市政府,私立集陶美術短期補習班,,Wjs827@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,中壢區,2011-06-21,1296
桃園市政府,私立學冠美語文理短期補習班,,4514107@gmail.com,文理類,中壢區,2008-01-30,1296
桃園市政府,朝陽富元教育股份有限公司附設私立朝揚文理語文短期補習班林森分班,,jy3169958@gmail.com,文理類,中壢區,2006-12-27,1296
桃園市政府,私立碩士品質美語文理短期補習班,,f0935819475@gmail.com,文理類,中壢區,2007-08-27,1296
桃園市政府,私立內立文城文理短期補習班忠孝分班,,maud1014@yahoo.com.tw,文理類,中壢區,2011-07-22,1296
桃園市政府,私立旋轉木馬美語短期補習班,,machilus1121@gmail.com,外語類,中壢區,2006-10-02,1296
桃園市政府,私立富竑音樂短期補習班,,,音樂、舞蹈類,中壢區,2002-06-05,1296
桃園市政府,私立喬加優美語數學短期補習班,,kelly69620@yahoo.com,外語類,中壢區,2000-06-27,1296
桃園市政府,私立光華英語會話短期補習班,10,,外語類,中壢區,1984-05-15,1296
桃園市政府,私立海華語文文理音樂短期補習班,,,文理類,中壢區,2014-12-10,1296
桃園市政府,私立亞勒芬美語短期補習班,,xinjie.ty@eagletw.com,外語類,中壢區,2015-02-06,1296
桃園市政府,私立大安美語短期補習班,,gloria@glo.com.tw ,外語類,中壢區,2006-02-20,1296
桃園市政府,私立致廷美語短期補習班,,,外語類,中壢區,2006-06-12,1296
桃園市政府,私立修博美語短期補習班,,,外語類,中壢區,2004-02-15,1296
桃園市政府,私立新諾奧美語文理短期補習班,,,外語類,中壢區,2015-06-18,1296
桃園市政府,私立小作家創意作文語文短期補習班,,tsy132132@yahoo.com.tw,外語類,中壢區,2000-12-08,1296
桃園市政府,私立威佛文理語文數學短期補習班,,ns0931139866@icloud.com,文理類,中壢區,2007-08-29,1296
桃園市政府,私立知新數學語文短期補習班,,yuchun3151@gmail.com,外語類,中壢區,2021-10-18,1296
桃園市政府,私立易立語文心算美術短期補習班,,aalliiccee0311@gmail.com,外語類,中壢區,2018-03-01,1296
桃園市政府,私立名揚文理短期補習班,,ssssun2@gmail.com,文理類,中壢區,2014-05-16,1296
桃園市政府,私立建展美語短期補習班,,sesboss2003@yahoo.com.tw,外語類,中壢區,2007-04-10,1296
桃園市政府,私立元生語文數學短期補習班,,kulo9898@yahoo.com.tw,文理類,中壢區,2008-09-23,1296
桃園市政府,私立巧圓珠心算數學短期補習班,,A0982696236@gmail.com,商類：珠算、心算、會計,中壢區,2021-04-23,1296
桃園市政府,私立昱強文理語文技藝短期補習班,,a134.a134@msa.hinet.net,文理類,中壢區,2007-04-10,1296
桃園市政府,私立文智語文數學短期補習班,,wg6007@yahoo.com.tw,外語類,中壢區,2008-07-31,1296
桃園市政府,私立蒙特利英語文理短期補習班,,BB101@joy.com.tw,文理類,中壢區,2020-05-19,1296
桃園市政府,私立向品語文文理短期補習班,,xiangpincramschool@gmail.com,文理類,中壢區,2015-12-29,1296
桃園市政府,私立育頎文理短期補習班,,guan_cen98@yahoo.com.tw,文理類,中壢區,2015-09-09,1296
桃園市政府,私立奕軒數學短期補習班,,b1042.tw@yahoo.com.tw,文理類,中壢區,2009-10-26,1296
桃園市政府,私立山谷音樂短期補習班,,yamaha.valley@msa.hinet.net,音樂、舞蹈類,中壢區,2008-10-29,1296
桃園市政府,私立侑蕎語文文理短期補習班,,yur977@yahoo.com.tw,文理類,中壢區,2016-07-13,1296
桃園市政府,私立菁英美語短期補習班,,a2811319@hotmail.com,外語類,中壢區,2008-03-20,1296
桃園市政府,私立育閎語文文理短期補習班,,,文理類,中壢區,2017-04-06,1296
桃園市政府,百世教育科技股份有限公司附設私立百世文理短期補習班新明分班,,,文理類,中壢區,2013-12-21,1296
桃園市政府,私立廣億音樂短期補習班,,natural@ms4.hinet.net,音樂、舞蹈類,中壢區,2009-07-22,1296
桃園市政府,私立向品語文文理短期補習班中壢新生分班,,xpchungli@gmail.com,文理類,中壢區,2018-10-01,1296
桃園市政府,私立拓德數學文理語文短期補習班,,tfc063@gmail.com,文理類,中壢區,2020-04-08,1296
桃園市政府,台灣知識庫股份有限公司附設私立大碩百官網龍門甄戰文理短期補習班,,2417@tkb.com.tw,文理類,中壢區,2007-11-08,1296
桃園市政府,私立哈佛文理短期補習班,159,nelson431105@hotmail.com,文理類,中壢區,1997-08-14,1296
桃園市政府,台灣知識庫股份有限公司附設私立洋碩數位學堂文理語文短期補習班,,max90t@yahoo.com.tw,文理類,中壢區,2015-01-14,1296
桃園市政府,私立勵德語文文理短期補習班,,mettle@ldclass.com.tw,文理類,中壢區,2016-01-14,1296
桃園市政府,私立布羅卡美語短期補習班,,,外語類,中壢區,2005-09-23,1296
桃園市政府,私立長林美語短期補習班中壢分班,,1652kq@gmail.com,外語類,中壢區,2012-02-02,1296
桃園市政府,私立日立文理短期補習班,,badhunter09@yahoo.com.tw,文理類,中壢區,2015-10-08,1296
桃園市政府,私立志意美術短期補習班,,chihyiart@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2019-09-23,1296
桃園市政府,私立掄元語文文理短期補習班中平分班,,jordan_chongping@yahoo.com.tw,文理類,中壢區,2017-09-15,1296
桃園市政府,私立文緯文理短期補習班,,johnny301099@yahoo.com.tw,文理類,中壢區,2020-10-22,1296
桃園市政府,私立掄元語文文理短期補習班,,jordan_ chongping@yahoo.com.tw,文理類,中壢區,2010-01-21,1296
桃園市政府,私立嶺先語文文理數學短期補習班,,sharewe112010@yahoo.com.tw,文理類,中壢區,2021-09-06,1296
桃園市政府,私立朵兒英文短期補習班,,doorenglishplay@gmail.com,外語類,中壢區,2017-12-15,1296
桃園市政府,私立喬安娜語文文理短期補習班,,chiujoanne2013@gmail.com,文理類,中壢區,2009-09-11,1296
桃園市政府,私立綠光語文文理短期補習班,,hamasakibest@hotmail.com,文理類,中壢區,2011-05-19,1296
桃園市政府,私立英普力美語短期補習班,,simply.english216@gmail.com,外語類,中壢區,2002-07-18,1296
桃園市政府,私立藝典美術短期補習班,,adotstudio01@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2021-09-11,1296
桃園市政府,私立瑞吉歐文理短期補習班,,reggioscience@gmail.com,文理類,中壢區,2016-06-20,1296
桃園市政府,私立玥荷音樂短期補習班,,yuehomusic2010@gmail.com,音樂、舞蹈類,中壢區,2010-11-10,1296
桃園市政府,私立玥荷文理數學短期補習班睿思分班,,yuehoeducation@gmail.com,文理類,中壢區,2018-03-27,1296
桃園市政府,私立星星語文文理短期補習班,,amanda.sheng@gmail.com,文理類,中壢區,2013-06-04,1296
桃園市政府,私立全勝文理短期補習班,120,,文理類,中壢區,1989-06-09,1296
桃園市政府,私立育欣語文數學短期補習班,,shane.ty5@msa.hinet.net,外語類,中壢區,2007-03-15,1296
桃園市政府,私立龍老師文理短期補習班,,teacherlung2004@yahoo.com.tw,文理類,中壢區,2004-09-16,1296
桃園市政府,私立史丹佛數學美語文理短期補習班,415,,文理類,中壢區,2000-11-21,1296
桃園市政府,私立冠球語文珠算短期補習班,,,外語類,中壢區,2014-07-21,1296
桃園市政府,私立文森語文文理短期補習班,,cy541112@yahoo.com.tw,文理類,中壢區,2007-11-08,1296
桃園市政府,私立蔣化文理短期補習班,,Jeff58824@yahoo.com.tw,文理類,中壢區,2017-09-20,1296
桃園市政府,私立愛默生美語珠心算短期補習班,,christina20079282@yahoo.com.tw,外語類,中壢區,2008-03-13,1296
桃園市政府,私立科喬美語文理短期補習班,,S122355662@gmail.com,文理類,中壢區,2006-06-20,1296
桃園市政府,私立弘盛文理英語短期補習班,,Cathy11@mail.apol.com.tw,文理類,中壢區,2004-06-10,1296
桃園市政府,私立一信文理語文數學短期補習班,,ishin147@gmail.com,文理類,中壢區,2007-05-21,1296
桃園市政府,私立哲宥文理短期補習班自強分班,,jy3071313@gmail.com,文理類,中壢區,2015-10-08,1296
桃園市政府,私立金牌躍騰文理短期補習班,,Super4638350@gmail.com,文理類,中壢區,2018-05-16,1296
桃園市政府,私立江華文理短期補習班,,kianghwuan@gmail.com,文理類,中壢區,2008-07-14,1296
桃園市政府,私立晴天美術短期補習班,,aming50@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2009-10-15,1296
桃園市政府,私立名研烹飪調酒短期補習班,,ming-yan2007@hotmail.com,家政、插花、烹飪類,中壢區,2001-12-12,1296
桃園市政府,私立春天英語會話短期補習班,,gloria@glo.com.tw,外語類,中壢區,2004-08-04,1296
桃園市政府,私立喜樂語文數學短期補習班,,joykidsjoy.hotmail.com,文理類,中壢區,2009-08-14,1296
桃園市政府,私立美美育育音樂短期補習班,,Chunglil@Kidsmusic.com.tw,音樂、舞蹈類,中壢區,2011-06-08,1296
桃園市政府,私立最好的文理短期補習班,,,文理類,中壢區,2003-02-20,1296
桃園市政府,私立鵬遠文理數學美語短期補習班,,reginhung@gmail.com,文理類,中壢區,2021-03-18,1296
桃園市政府,私立逗點教室文理語文短期補習班青埔分班,,huangnini0527@gmail.com,文理類,中壢區,2018-12-20,1296
桃園市政府,私立北一文理美語短期補習班,,peii.qingpu@gmail.com,文理類,中壢區,2019-04-15,1296
桃園市政府,私立劉虹文理數學短期補習班,,hubertwife@gmail.com,文理類,中壢區,2018-02-06,1296
桃園市政府,私立大衛美語會話短期補習班,7,,外語類,中壢區,1990-05-01,1296
桃園市政府,私立鳳橋文裡語文數學短期補習班,,feitengjiaoyu@hotmail.com,文理類,中壢區,2018-09-10,1296
桃園市政府,私立英格斯堡美語數學文理短期補習班,,Jackysct@gmail.com,文理類,中壢區,2014-12-31,1296
桃園市政府,私立佳瑞英語短期補習班,,paratroops@hotmail.com,外語類,中壢區,2009-05-18,1296
桃園市政府,私立小珠子珠心算語文文理短期補習班,,kueilin6077@gmail.com,文理類,中壢區,2004-09-15,1296
桃園市政府,私立群益烹飪調酒技藝短期補習班,,avan27@yahoo.com,家政、插花、烹飪類,中壢區,2021-11-30,1296
桃園市政府,私立鴻雁舞蹈短期補習班,321,,音樂、舞蹈類,中壢區,1985-02-06,1296
桃園市政府,私立喬依思美語數學文理短期補習班,,exmichen@yahoo.com,文理類,中壢區,2021-12-09,1296
桃園市政府,私立樂光音樂短期補習班,,clair.de.musique@gmail.com,音樂、舞蹈類,中壢區,2021-08-09,1296
桃園市政府,私立九華建築短期補習班,,,電機、汽車修護、建築、工藝、製圖類,中壢區,2003-06-09,1296
桃園市政府,私立新奧林匹克數學文理短期補習班,,1skm01@gmail.com,文理類,中壢區,2008-02-14,1296
桃園市政府,私立華盛頓語文文理短期補習班,,washedusch1993@gmail.com,文理類,中壢區,2013-10-11,1296
桃園市政府,私立陽昇美語短期補習班,94,,外語類,中壢區,1999-02-02,1296
桃園市政府,私立中立美語數學作文短期補習班,61,chungli@sesamevillage.tw,外語類,中壢區,1997-02-24,1296
桃園市政府,私立翱翔美語短期補習班,,Hsinyi.ty@eagletw.com,外語類,中壢區,2017-02-13,1296
桃園市政府,私立蘇荷美術短期補習班中原分班,,sohomary@sohoart.com.tw,美術、書法、攝影、美工設計、圍棋類,中壢區,2002-12-19,1296
桃園市政府,私立力成數學語文短期補習班,,p19670610@gmail.com,外語類,中壢區,2020-10-20,1296
桃園市政府,私立達文西美術美語數學文理短期補習班,,housefriend181888@yahoo.com.tw,文理類,中壢區,2000-10-13,1296
桃園市政府,私立蘋果樹美術短期補習班,,kiki.chuang.2006@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區,2011-12-09,1296
桃園市政府,學生閣有限公司附設私立夏恩惟登文理語文短期補習班,,carol_1688@yahoo.com,文理類,中壢區,2016-04-12,1296
桃園市政府,私立睿瑪語文音樂美術短期補習班,,estc.tiskyo@gmail.com,外語類,中壢區,2013-10-16,1296
桃園市政府,私立學育文理數學語文短期補習班,,wuwei.math@gmail.com,文理類,中壢區,2012-08-07,1296
桃園市政府,威學文教有限公司附設私立雋立文理語文數學短期補習班,,eaa1213@gmail.com,文理類,中壢區,2021-11-25,1296
桃園市政府,私立泰文文理短期補習班,,yu1024v@yahoo.com.tw,文理類,中壢區,2006-03-29,1296
桃園市政府,私立史考特新世界美語短期補習班,,http://newworldenglish.com,外語類,中壢區,2015-03-06,1296
桃園市政府,私立逗點語文文理數學自然科學短期補習班,,commaclasscp@gmail.com,文理類,中壢區,2009-06-22,1296
桃園市政府,私立酷歐語文文理音樂數學短期補習班,,Cool2873253@gmail.com,文理類,中壢區,2019-12-03,1296
桃園市政府,私立詠浩語文文理短期補習班,,urperfect_yh@yahoo.com.tw,文理類,中壢區,2010-12-24,1296
